key	pt	uses	files
ds_1_ajuste	1 ajuste	1	1
ds_arrastar_reordenar	Arrastar para reordenar	1	1
ds_avancado	Avançado	1	1
ds_cancelar	Cancelar	1	1
ds_conta_incompleta	Conta incompleta	1	1
ds_cor	Cor	1	1
ds_pronto	Pronto	1	1
ds_rapidas	Rápidas	1	1
editor_2f_fps	%.2f fps	1	1
editor_abrir	Abrir	1	1
editor_adicionar_camada	Adicionar camada	1	1
editor_adicionar_toque_linha_ou_vazio_arraste	Adicionar: toque na linha ou no vazio; arraste para curvar	1	1
editor_agrupar	Agrupar	1	1
editor_agrupar_camadas_escolhidas	Agrupar as camadas escolhidas	1	1
editor_alguma_camada_solo_previa_som_so	Com alguma camada em solo, a prévia e o som só tocam as que estão	1	1
editor_alinhar_base_tela	Alinhar à base da tela	1	1
editor_alinhar_direita_tela	Alinhar à direita da tela	1	1
editor_alinhar_esquerda_tela	Alinhar à esquerda da tela	1	1
editor_alinhar_fins	Alinhar os fins	1	1
editor_alinhar_inicios	Alinhar os inícios	1	1
editor_alinhar_topo_tela	Alinhar ao topo da tela	1	1
editor_alta	Alta	3	1
editor_altura	Altura	1	1
editor_aparar_empurra_camadas_seguintes_excluir_fecha	Aparar empurra as camadas seguintes e excluir fecha o espaço	1	1
editor_aparar_fim_cabecote	Aparar o fim no cabeçote	3	2
editor_aparar_inicio_cabecote	Aparar o início no cabeçote	3	2
editor_aparar_projeto_cabecote	Aparar o projeto no cabeçote	1	1
editor_aparece_aqui_editor_fica_fora_video	Aparece aqui no editor e fica fora do vídeo exportado	1	1
editor_bloquear_camada	Bloquear camada	1	1
editor_borra_direcao_movimento_obturador_nas_configuracoes	Borra na direção do movimento (obturador nas configurações do projeto)	1	1
editor_borra_mexe_dentro_video_pelos_vetores	Borra o que se mexe dentro do vídeo (pelos vetores de movimento)	1	1
editor_buscar_camadas	Buscar camadas…	1	1
editor_camada	Camada	2	1
editor_camada_ajuste	Camada de ajuste	1	1
editor_camada_bloqueada	Camada bloqueada	1	1
editor_camada_bloqueada_desbloqueie_editar	Camada bloqueada: desbloqueie para editar	1	1
editor_camadas_desfoque_movimento_so_borram_isto	As camadas com desfoque de movimento só borram com isto ligado	1	1
editor_cancelar	Cancelar	1	1
editor_cancelar_selecao	Cancelar seleção	1	1
editor_canto_suave_toque_ponto_alternar	Canto/Suave: toque no ponto para alternar	1	1
editor_centralizar_horizontal	Centralizar na horizontal	1	1
editor_centralizar_vertical	Centralizar na vertical	1	1
editor_colar_camada_cabecote	Colar camada no cabeçote	2	2
editor_colar_efeitos	Colar efeitos	1	1
editor_colar_estilo	Colar estilo	2	2
editor_colar_keyframes_cabecote	Colar keyframes no cabeçote	1	1
editor_compartilhar	Compartilhar	1	1
editor_concluir	Concluir	1	1
editor_concluir_desenho	Concluir desenho	1	1
editor_converter_grupo	Converter em grupo	1	1
editor_copiar_camada	Copiar camada	2	2
editor_copiar_colar	Copiar e colar	2	1
editor_copiar_efeitos	Copiar efeitos	1	1
editor_copiar_estilo	Copiar estilo	2	2
editor_copiar_keyframes_cabecote	Copiar keyframes do cabeçote	1	1
editor_cor	Cor	1	1
editor_cria_nulo_segue_ponto_ligue_outras	Cria um Nulo que segue o ponto — ligue outras camadas a ele	1	1
editor_desagrupar	Desagrupar	3	3
editor_desbloquear	Desbloquear	2	1
editor_desbloquear_camada	Desbloquear camada	1	1
editor_desenhar_pontos	Desenhar com pontos	1	1
